Name,Birthdate,Score,Grade
Michael,06/05/1964,96,A
Kyle,22/07/1964,Not Available,B
Daniel,13/10/1979,74,C
Andrea,13/09/1984,Not Available,C
Steven,03/02/1993,Not Available,A
Dustin,07/03/1997,93,B
Katherine,08/08/1977,Not Available,C
Christopher,01/05/1986,98,C
Donald,28/12/1973,Not Available,A
Brandon,23/10/1994,Not Available,B
Isabella,26/10/1974,98,B
Caleb,18/12/1981,93,B
Holly,07/06/1985,Not Available,C
Raymond,13/03/1987,87,C
John,22/07/1983,70,B
Kimberly,03/10/1999,Not Available,B
Katrina,01/12/1987,62,A
Jill,04/06/1991,Not Available,B
Brittney,03/09/1984,Not Available,B
James,12/01/2001,Not Available,A
Jeffrey,14/02/1992,Not Available,A
Alexander,20/04/2002,Not Available,B
Jasmine,15/05/1983,66,A
Leah,28/08/1970,Not Available,A
George,18/11/1998,88,C
Paul,26/08/1971,Not Available,C
Randall,29/11/1989,73,A
Alicia,31/01/1992,94,B
Michael,10/08/1995,Not Available,A
Ashley,20/08/1968,Not Available,B
Clayton,18/09/1972,67,A
Brandon,21/01/1998,67,86
Olivia,28/01/1991,70,15
Charles,19/03/2004,Not Available,26
Megan,03/11/1973,100,25
Richard,29/12/1993,Not Available,53
Paul,10/08/1972,98,7
Amanda,27/11/2001,Not Available,82
Michael,04/12/1982,76,5
Patricia,14/03/1997,Not Available,38
Matthew,29/06/1990,Not Available,11
Kimberly,15/08/1986,66,87
Paul,17/03/1997,Not Available,73
Jason,26/08/1966,68,66
Gregory,12/07/1975,Not Available,91
Gregory,26/07/1992,79,16
Andrew,10/08/2001,83,73
Sean,24/03/1985,Not Available,63
Julia,07/01/1992,73,90
Amanda,31/08/1990,Not Available,13
Stephanie,17/06/1974,69,30
Christopher,17/04/1987,Not Available,82
Gina,14/03/2002,Not Available,9
Michele,11/04/2000,96,68
Zachary,19/03/2002,Not Available,49
Kenneth,19/06/2003,94,55
Jennifer,06/11/1979,99,58
Amber,19/03/1974,78,13
Stephanie,06/08/1964,78,15
Amanda,22/12/1966,Not Available,10
Corey,04/10/1990,Not Available,48
Kaitlin,10/10/1989,Not Available,34
Breanna,20/04/1968,98,38
Brandon,09/12/2001,80,1
Eric,20/08/1998,Not Available,94
Susan,16/01/1987,82,97
Courtney,25/09/1976,94,32
Claudia,12/12/1968,78,12
Tiffany,30/07/1976,63,97
Megan,19/11/1990,84,14
Kyle,30/01/2004,Not Available,46
Yolanda,20/06/1999,88,77
Joseph,21/01/1991,92,16
Samantha,01/08/1985,Not Available,11
Thomas,12/03/1985,72,12
Edward,12/03/1978,77,71
Katherine,15/05/2001,Not Available,28
Kimberly,07/08/1976,Not Available,67
Kristin,29/01/1978,83,45
Ryan,28/02/2000,80,95
Mark,01/07/1976,69,27
Jacob,06/09/1989,Not Available,92
Jennifer,12/03/2000,62,32
Matthew,22/03/1976,Not Available,63
Sheri,10/04/1965,60,45
Eric,12/12/1975,75,25
Betty,19/02/2000,Not Available,95
Krista,19/12/1981,69,28
Hannah,05/04/1978,Not Available,28
Jerry,18/10/1969,100,34
Sharon,14/05/1997,89,96
Todd,31/03/1995,Not Available,51
Steven,21/03/1979,81,62
Tyler,01/12/1995,99,22
Nicholas,27/06/1973,Not Available,55
Maria,04/04/1975,77,100
Crystal,20/12/1986,Not Available,2
John,15/01/1964,Not Available,15
Cheryl,27/02/1996,Not Available,58
Christina,29/09/1992,Not Available,47
Blake,26/10/2002,Not Available,36
Joseph,17/08/1985,93,88
Megan,16/09/1966,97,43
Justin,04/07/1970,Not Available,83
Daniel,23/03/2001,Not Available,77
Jared,07/04/1968,86,89
William,10/03/1972,99,93
Eric,01/11/1995,82,76
Kristen,04/08/1986,Not Available,50
Joshua,21/04/1984,Not Available,40
Michael,09/05/1987,Not Available,60
Joshua,06/05/1994,Not Available,43
Catherine,22/02/1973,Not Available,11
Lisa,21/08/1979,79,32
Joseph,17/07/1984,64,58
Rebecca,11/10/1972,Not Available,87
Katie,01/03/1987,Not Available,68
Curtis,18/04/1987,85,21
William,23/08/1993,78,51
Phillip,25/09/2002,66,24
Kimberly,16/01/1986,Not Available,22
Joseph,24/03/1984,88,72
Randy,14/09/1985,Not Available,69
Michael,10/12/1965,69,36
Amanda,30/06/2001,65,15
Alexis,09/06/1979,60,69
Shelby,10/07/1976,Not Available,26
Christopher,13/12/1964,Not Available,57
Michael,11/09/1999,Not Available,98
Christopher,21/08/1981,Not Available,10
Victor,08/12/1992,60,77
